env_step,eval_success_rate,eval_return,human_steps,engagements,demo_size,online_size
10000,0.0000,1.4076,249,26,4249,10000
20000,0.0000,11.3723,299,31,4299,20000
30000,0.0000,35.2509,960,98,4960,30000
40000,0.6000,61.2248,1220,124,5220,40000
50000,0.1500,51.0251,1468,149,5468,50000
60000,0.3000,77.0305,1709,174,5709,60000
70000,0.5000,86.0154,1975,201,5975,70000
80000,0.3500,74.5412,2232,227,6232,80000
90000,0.4500,81.0421,2478,252,6478,90000
100000,0.7000,102.7622,2738,278,6738,100000
110000,0.6500,72.6885,2979,303,6979,110000
120000,0.7000,85.9476,3239,329,7239,120000
130000,0.8500,132.6257,3499,355,7499,130000
140000,0.8500,126.4649,3752,381,7752,140000
150000,0.9500,120.9361,4000,407,8000,150000
