env_step,eval_success_rate,eval_return,human_steps,engagements,demo_size,online_size
10000,0.0000,0.0960,10000,1000,14000,10000
20000,0.0000,0.1039,20000,2000,24000,20000
30000,0.0000,0.0983,30000,3000,34000,30000
40000,0.0000,0.0915,40000,4000,44000,40000
50000,0.0000,0.0595,50000,5000,54000,50000
60000,0.0000,0.0594,60000,6000,64000,60000
70000,0.0000,0.1928,70000,7000,74000,70000
80000,0.0000,0.1274,80000,8000,84000,80000
90000,0.0000,0.2324,90000,9000,94000,90000
100000,0.0000,0.0931,100000,10000,104000,100000
110000,0.0000,0.1327,110000,11000,114000,110000
120000,0.0000,0.1486,120000,12000,124000,120000
130000,0.0000,0.1137,130000,13000,134000,130000
140000,0.0000,0.0764,140000,14000,144000,140000
150000,0.0000,0.0479,150000,15000,154000,150000
