env_step,eval_success_rate,eval_return,human_steps,engagements,demo_size,online_size
10000,0.0500,9.4968,0,0,4000,10000
20000,0.0000,1.6782,0,0,4000,20000
30000,0.0000,37.7241,0,0,4000,30000
40000,0.0000,26.4544,0,0,4000,40000
50000,0.5500,88.0916,0,0,4000,50000
60000,0.0000,0.5063,0,0,4000,60000
70000,0.0000,17.2557,0,0,4000,70000
80000,0.5500,73.6322,0,0,4000,80000
90000,0.0500,29.1859,0,0,4000,90000
100000,0.0000,18.9605,0,0,4000,100000
110000,0.0000,0.5260,0,0,4000,110000
120000,0.0000,2.0026,0,0,4000,120000
130000,0.1000,64.5159,0,0,4000,130000
140000,0.3500,77.3374,0,0,4000,140000
150000,0.0000,3.6667,0,0,4000,150000
