env_step,eval_success_rate,eval_return,human_steps,engagements,demo_size,online_size
10000,0.0000,2.4083,459,47,4459,10000
20000,0.0000,4.3842,713,75,4713,20000
30000,0.0500,36.7649,961,100,4961,30000
40000,0.6500,83.8177,1217,126,5217,40000
50000,0.2000,52.1626,1467,151,5467,50000
60000,0.3500,78.9258,1726,177,5726,60000
70000,0.0000,0.8279,1976,202,5976,70000
80000,0.0000,14.8097,2230,228,6230,80000
90000,0.0500,36.8896,2480,253,6480,90000
100000,0.1500,25.9614,2736,279,6736,100000
110000,0.3000,56.8956,2996,305,6996,110000
120000,0.0000,0.0325,3239,330,7239,120000
130000,0.0000,0.0878,3499,356,7499,130000
140000,0.2500,50.1086,3755,383,7755,140000
150000,0.7000,94.7825,4000,409,8000,150000
