env_step,eval_success_rate,eval_return,human_steps,engagements,demo_size,online_size
10000,0.0000,3.0813,454,47,4454,10000
20000,0.0500,11.1941,714,75,4714,20000
30000,0.1500,31.8278,960,100,4960,30000
40000,0.4000,71.2273,1214,127,5214,40000
50000,0.1500,52.5883,1474,153,5474,50000
60000,0.3000,53.4764,1724,178,5724,60000
70000,0.5000,85.2598,1974,203,5974,70000
80000,0.1500,59.0423,2234,229,6234,80000
90000,0.0000,5.7568,2480,254,6480,90000
100000,0.2000,44.4115,2734,281,6734,100000
110000,0.1500,38.7921,2993,307,6993,110000
120000,0.5000,56.8936,3247,333,7247,120000
130000,0.8000,134.6016,3495,358,7495,130000
140000,0.5000,70.1220,3748,384,7748,140000
150000,0.7000,112.2759,4000,410,8000,150000
