env_step,episode,episode_step,task,strategy,seed,human_steps,budget_used_frac,engagements,candidate,score,p_fail,eef_z,cube_z,gripper_to_cube_norm,gripper_to_cube_xy,cubeA_z,cubeB_z,gripper_to_cubeA_norm,gripper_to_cubeB_norm,stack_cubeA_lifted
21,0,20,Lift,random,0,1,0.0029,1,0,nan,nan,0.998184,0.820969,0.323190,0.270271,nan,nan,nan,nan,
83,0,82,Lift,random,0,21,0.0600,2,0,nan,nan,1.101208,0.820969,0.438298,0.337004,nan,nan,nan,nan,
752,3,151,Lift,random,0,41,0.1171,3,0,nan,nan,0.867766,0.820653,0.140317,0.132171,nan,nan,nan,nan,
1340,6,139,Lift,random,0,61,0.1743,4,0,nan,nan,0.897649,0.821342,0.255637,0.243983,nan,nan,nan,nan,
1899,9,98,Lift,random,0,81,0.2314,5,0,nan,nan,0.861703,0.821405,0.124676,0.117984,nan,nan,nan,nan,
2497,12,96,Lift,random,0,101,0.2886,6,0,nan,nan,0.881143,0.821409,0.346498,0.341310,nan,nan,nan,nan,
3105,15,104,Lift,random,0,121,0.3457,7,0,nan,nan,1.011361,0.820504,0.365506,0.311719,nan,nan,nan,nan,
3717,18,116,Lift,random,0,141,0.4029,8,0,nan,nan,0.936466,0.821284,0.172477,0.128379,nan,nan,nan,nan,
4307,21,106,Lift,random,0,161,0.4600,9,0,nan,nan,0.957026,0.820216,0.295744,0.262198,nan,nan,nan,nan,
4911,24,110,Lift,random,0,181,0.5171,10,0,nan,nan,0.905196,0.820392,0.143176,0.115359,nan,nan,nan,nan,
5504,27,103,Lift,random,0,201,0.5743,11,0,nan,nan,0.888799,0.819871,0.075306,0.030331,nan,nan,nan,nan,
6098,30,97,Lift,random,0,221,0.6314,12,0,nan,nan,0.989979,0.820595,0.590334,0.565512,nan,nan,nan,nan,
6743,33,142,Lift,random,0,241,0.6886,13,0,nan,nan,0.866621,0.820914,0.127579,0.119111,nan,nan,nan,nan,
7385,36,184,Lift,random,0,261,0.7457,14,0,nan,nan,0.864548,0.819983,0.300936,0.297618,nan,nan,nan,nan,
7838,39,37,Lift,random,0,277,0.7914,15,0,nan,nan,0.879619,0.821683,0.101292,0.083087,nan,nan,nan,nan,
8384,41,183,Lift,random,0,297,0.8486,16,0,nan,nan,1.040057,0.821740,0.317004,0.229846,nan,nan,nan,nan,
8890,44,89,Lift,random,0,314,0.8971,17,0,nan,nan,0.829318,0.819923,0.062822,0.062115,nan,nan,nan,nan,
9533,47,132,Lift,random,0,334,0.9543,18,0,nan,nan,0.898331,0.821035,0.389830,0.382090,nan,nan,nan,nan,
