env_step,episode,episode_step,task,strategy,seed,human_steps,budget_used_frac,engagements,candidate,score,p_fail,eef_z,cube_z,gripper_to_cube_norm,gripper_to_cube_xy,cubeA_z,cubeB_z,gripper_to_cubeA_norm,gripper_to_cubeB_norm,stack_cubeA_lifted
1,0,0,Lift,voi,0,1,0.0017,1,1,10.000000,1.000000,1.012626,0.831577,0.217389,0.120330,nan,nan,nan,nan,
22,0,21,Lift,voi,0,21,0.0350,2,1,10.000000,1.000000,0.834228,0.822153,0.016292,0.010936,nan,nan,nan,nan,
176,0,175,Lift,voi,0,41,0.0683,3,1,10.000000,1.000000,2.005476,2.014439,0.017147,0.014618,nan,nan,nan,nan,
527,2,126,Lift,voi,0,61,0.1017,4,1,10.000000,1.000000,1.921672,0.820556,1.106798,0.112003,nan,nan,nan,nan,
4002,20,1,Lift,voi,0,81,0.1350,5,1,0.152704,0.043708,1.021629,0.818615,0.216900,0.076359,nan,nan,nan,nan,
4023,20,22,Lift,voi,0,101,0.1683,6,1,0.032981,0.016514,0.824744,0.821252,0.008823,0.008102,nan,nan,nan,nan,
4044,20,43,Lift,voi,0,121,0.2017,7,1,0.021333,0.011540,1.063832,1.058384,0.009494,0.007776,nan,nan,nan,nan,
4065,20,64,Lift,voi,0,141,0.2350,8,1,0.025427,0.013232,1.327456,1.321567,0.010639,0.008860,nan,nan,nan,nan,
4086,20,85,Lift,voi,0,161,0.2683,9,1,0.013915,0.009191,1.586139,1.581307,0.011639,0.010588,nan,nan,nan,nan,
4106,20,105,Lift,voi,0,181,0.3017,10,1,0.014989,0.011302,1.711045,1.713041,0.012852,0.012696,nan,nan,nan,nan,
4127,20,126,Lift,voi,0,201,0.3350,11,1,0.033738,0.027508,1.657868,1.670530,0.016389,0.010405,nan,nan,nan,nan,
4147,20,146,Lift,voi,0,221,0.3683,12,1,0.035751,0.026754,1.120009,1.123110,0.021890,0.021669,nan,nan,nan,nan,
4169,20,168,Lift,voi,0,241,0.4017,13,1,0.030253,0.023235,0.978165,0.981245,0.024231,0.024034,nan,nan,nan,nan,
4189,20,188,Lift,voi,0,261,0.4350,14,1,0.018996,0.015232,0.941972,0.944990,0.028676,0.028517,nan,nan,nan,nan,
4247,21,46,Lift,voi,0,273,0.4550,15,1,0.052893,0.019943,0.963645,0.821653,0.404607,0.378874,nan,nan,nan,nan,
4598,22,197,Lift,voi,0,293,0.4883,16,1,0.033740,0.013854,1.102243,0.820051,0.318329,0.147312,nan,nan,nan,nan,
4650,23,49,Lift,voi,0,296,0.4933,17,1,0.045167,0.023143,0.995021,0.821663,0.442636,0.407276,nan,nan,nan,nan,
5002,25,1,Lift,voi,0,316,0.5267,18,1,0.050753,0.014655,1.004798,0.818509,0.222866,0.122335,nan,nan,nan,nan,
5351,26,150,Lift,voi,0,336,0.5600,19,1,0.035729,0.014556,1.000573,0.820677,0.478742,0.443657,nan,nan,nan,nan,
5707,28,106,Lift,voi,0,356,0.5933,20,1,0.019141,0.006167,0.915399,0.820828,0.258095,0.240144,nan,nan,nan,nan,
6053,30,52,Lift,voi,0,376,0.6267,21,1,0.016727,0.005680,0.979438,0.820286,0.452341,0.423419,nan,nan,nan,nan,
6404,32,3,Lift,voi,0,396,0.6600,22,1,0.030599,0.012603,1.045393,0.819598,0.241356,0.085261,nan,nan,nan,nan,
6755,33,154,Lift,voi,0,416,0.6933,23,1,0.051779,0.019153,0.894761,0.820458,0.261708,0.250939,nan,nan,nan,nan,
7106,35,105,Lift,voi,0,436,0.7267,24,1,0.019344,0.005741,0.861445,0.820219,0.346962,0.344504,nan,nan,nan,nan,
7457,37,56,Lift,voi,0,456,0.7600,25,1,0.034822,0.013604,0.920090,0.821364,0.117976,0.064589,nan,nan,nan,nan,
7810,39,9,Lift,voi,0,476,0.7933,26,1,0.059196,0.022146,1.009774,0.820238,0.228726,0.128030,nan,nan,nan,nan,
8164,40,163,Lift,voi,0,496,0.8267,27,1,0.010275,0.003475,0.918901,0.820783,0.334835,0.320137,nan,nan,nan,nan,
8516,42,115,Lift,voi,0,516,0.8600,28,1,0.011592,0.004671,1.163814,0.820205,0.423563,0.247667,nan,nan,nan,nan,
8861,44,60,Lift,voi,0,536,0.8933,29,1,0.034299,0.012332,0.934604,0.820360,0.169859,0.125699,nan,nan,nan,nan,
9211,46,10,Lift,voi,0,556,0.9267,30,1,0.025219,0.007510,1.020446,0.819926,0.253136,0.154497,nan,nan,nan,nan,
9565,47,164,Lift,voi,0,576,0.9600,31,1,0.021403,0.010891,0.923194,0.821127,0.107746,0.034517,nan,nan,nan,nan,
9918,49,117,Lift,voi,0,596,0.9933,32,1,0.013492,0.003441,1.063025,0.821635,0.363976,0.272414,nan,nan,nan,nan,
