env_step,episode,episode_step,task,strategy,seed,human_steps,budget_used_frac,engagements,candidate,score,p_fail,eef_z,cube_z,gripper_to_cube_norm,gripper_to_cube_xy,cubeA_z,cubeB_z,gripper_to_cubeA_norm,gripper_to_cubeB_norm,stack_cubeA_lifted
1,0,0,Lift,random,0,1,0.0167,1,0,nan,nan,0.990765,0.830776,0.221155,0.152687,nan,nan,nan,nan,
14,0,13,Lift,random,0,6,0.1000,2,0,nan,nan,0.982633,0.820560,0.195791,0.109847,nan,nan,nan,nan,
39,0,38,Lift,random,0,11,0.1833,3,0,nan,nan,0.957869,0.820561,0.322743,0.292078,nan,nan,nan,nan,
65,0,64,Lift,random,0,16,0.2667,4,0,nan,nan,1.068981,0.820561,0.323552,0.207299,nan,nan,nan,nan,
100,0,99,Lift,random,0,21,0.3500,5,0,nan,nan,1.128672,0.820561,0.338745,0.140767,nan,nan,nan,nan,
123,0,122,Lift,random,0,26,0.4333,6,0,nan,nan,1.072251,0.820561,0.254619,0.038505,nan,nan,nan,nan,
145,0,144,Lift,random,0,31,0.5167,7,0,nan,nan,1.097407,0.820561,0.280738,0.046578,nan,nan,nan,nan,
184,0,183,Lift,random,0,36,0.6000,8,0,nan,nan,0.898305,0.820561,0.085239,0.034950,nan,nan,nan,nan,
198,0,197,Lift,random,0,41,0.6833,9,0,nan,nan,0.947544,0.820561,0.136916,0.051196,nan,nan,nan,nan,
218,1,17,Lift,random,0,44,0.7333,10,0,nan,nan,1.060812,0.819885,0.320187,0.210888,nan,nan,nan,nan,
237,1,36,Lift,random,0,49,0.8167,11,0,nan,nan,0.998209,0.819885,0.253400,0.180035,nan,nan,nan,nan,
270,1,69,Lift,random,0,54,0.9000,12,0,nan,nan,0.963939,0.819885,0.173594,0.096869,nan,nan,nan,nan,
296,1,95,Lift,random,0,59,0.9833,13,0,nan,nan,0.886769,0.819885,0.077402,0.038957,nan,nan,nan,nan,
