env_step,episode,episode_step,task,strategy,seed,human_steps,budget_used_frac,engagements,candidate,score,p_fail,eef_z,cube_z,gripper_to_cube_norm,gripper_to_cube_xy,cubeA_z,cubeB_z,gripper_to_cubeA_norm,gripper_to_cubeB_norm,stack_cubeA_lifted
1,0,0,Lift,voi,2,1,0.0017,1,1,10.000000,1.000000,1.007272,0.831934,0.206301,0.108704,nan,nan,nan,nan,
21,0,20,Lift,voi,2,21,0.0350,2,1,10.000000,1.000000,0.828971,0.821718,0.007457,0.001734,nan,nan,nan,nan,
176,0,175,Lift,voi,2,41,0.0683,3,1,10.000000,1.000000,1.980503,1.977756,0.015441,0.015194,nan,nan,nan,nan,
527,2,126,Lift,voi,2,61,0.1017,4,1,10.000000,1.000000,1.520060,0.821151,0.714420,0.148060,nan,nan,nan,nan,
4004,20,3,Lift,voi,2,81,0.1350,5,1,0.104760,0.032483,0.994176,0.820389,0.197169,0.093132,nan,nan,nan,nan,
4050,20,49,Lift,voi,2,101,0.1683,6,1,0.050567,0.020815,0.854026,0.827727,0.035871,0.024395,nan,nan,nan,nan,
4077,20,76,Lift,voi,2,121,0.2017,7,1,0.065654,0.018404,1.015476,0.821539,0.206737,0.071616,nan,nan,nan,nan,
4108,20,107,Lift,voi,2,141,0.2350,8,1,0.076766,0.028514,1.178210,0.821539,0.356828,0.010598,nan,nan,nan,nan,
4134,20,133,Lift,voi,2,161,0.2683,9,1,0.054433,0.020927,1.131392,0.821539,0.312736,0.042372,nan,nan,nan,nan,
4161,20,160,Lift,voi,2,181,0.3017,10,1,0.050226,0.019962,1.072666,0.821539,0.252689,0.028053,nan,nan,nan,nan,
4182,20,181,Lift,voi,2,201,0.3350,11,1,0.101817,0.037730,1.132726,0.821539,0.311967,0.022050,nan,nan,nan,nan,
4204,21,3,Lift,voi,2,220,0.3667,12,1,0.076331,0.023763,0.958794,0.819861,0.206851,0.153249,nan,nan,nan,nan,
4232,21,31,Lift,voi,2,240,0.4000,13,1,0.062567,0.023564,0.865117,0.820919,0.049138,0.021472,nan,nan,nan,nan,
4279,21,78,Lift,voi,2,260,0.4333,14,1,0.051009,0.021904,0.915349,0.907602,0.008110,0.002398,nan,nan,nan,nan,
4369,21,168,Lift,voi,2,280,0.4667,15,1,0.162858,0.128172,1.381526,1.370839,0.015006,0.010534,nan,nan,nan,nan,
4759,23,158,Lift,voi,2,300,0.5000,16,1,0.055415,0.021411,1.160899,0.821066,0.490760,0.354060,nan,nan,nan,nan,
5114,25,113,Lift,voi,2,320,0.5333,17,1,0.061655,0.021443,1.108833,0.820663,0.345658,0.190886,nan,nan,nan,nan,
5429,27,28,Lift,voi,2,340,0.5667,18,1,0.072411,0.026030,1.010590,0.821408,0.282428,0.209704,nan,nan,nan,nan,
5778,28,177,Lift,voi,2,360,0.6000,19,1,0.066902,0.025799,1.005418,0.820583,0.491223,0.455122,nan,nan,nan,nan,
6199,30,198,Lift,voi,2,380,0.6333,20,1,0.051656,0.020323,1.081006,0.821744,0.437141,0.351959,nan,nan,nan,nan,
6227,31,26,Lift,voi,2,382,0.6367,21,1,0.065206,0.025083,1.022766,0.821533,0.258785,0.162712,nan,nan,nan,nan,
6511,32,110,Lift,voi,2,402,0.6700,22,1,0.057731,0.021634,0.909356,0.821130,0.200135,0.179639,nan,nan,nan,nan,
6876,34,75,Lift,voi,2,422,0.7033,23,1,0.065469,0.019194,0.961062,0.820996,0.394342,0.368629,nan,nan,nan,nan,
7216,36,15,Lift,voi,2,442,0.7367,24,1,0.093697,0.026494,0.933625,0.821392,0.287489,0.264676,nan,nan,nan,nan,
7575,37,174,Lift,voi,2,462,0.7700,25,1,0.055932,0.020669,1.012646,0.821408,0.351785,0.295264,nan,nan,nan,nan,
7990,39,189,Lift,voi,2,482,0.8033,26,1,0.054270,0.013723,0.926121,0.820387,0.167412,0.129796,nan,nan,nan,nan,
8123,40,122,Lift,voi,2,493,0.8217,27,1,0.056755,0.016211,0.893810,0.820543,0.124890,0.101140,nan,nan,nan,nan,
8462,42,61,Lift,voi,2,513,0.8550,28,1,0.069580,0.018022,0.904142,0.821332,0.086463,0.024865,nan,nan,nan,nan,
8979,44,178,Lift,voi,2,533,0.8883,29,1,0.095919,0.025189,0.961223,0.821469,0.144229,0.035651,nan,nan,nan,nan,
9320,46,119,Lift,voi,2,553,0.9217,30,1,0.052255,0.013576,0.999879,0.821102,0.281436,0.217359,nan,nan,nan,nan,
9540,47,139,Lift,voi,2,573,0.9550,31,1,0.052246,0.013842,0.959610,0.820047,0.180981,0.115223,nan,nan,nan,nan,
9875,49,74,Lift,voi,2,593,0.9883,32,1,0.050154,0.014059,0.903072,0.819472,0.142259,0.115103,nan,nan,nan,nan,
