file,rows,has_wall_time_s,wall_time_s_sum,has_seed,seeds,has_total_steps,total_steps,has_eval_episodes,eval_episodes,notes
results/r020_lift_highn_reliability/checkpoint_reeval_method_seed0_5x20.csv,5,False,,True,777;778;779;780;781,False,,True,20,no_wall_time_s
results/r020_lift_highn_reliability/checkpoint_reeval_method_seed0_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r020_lift_highn_reliability/checkpoint_reeval_method_seed1_5x20.csv,5,False,,True,777;778;779;780;781,False,,True,20,no_wall_time_s
results/r020_lift_highn_reliability/checkpoint_reeval_method_seed1_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r020_lift_highn_reliability/checkpoint_reeval_method_seed2_5x20.csv,5,False,,True,777;778;779;780;781,False,,True,20,no_wall_time_s
results/r020_lift_highn_reliability/checkpoint_reeval_method_seed2_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r020_lift_highn_reliability/checkpoint_reeval_method_seed3_5x20.csv,5,False,,True,777;778;779;780;781,False,,True,20,no_wall_time_s
results/r020_lift_highn_reliability/checkpoint_reeval_method_seed3_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r020_lift_highn_reliability/checkpoint_reeval_method_seed4_5x20.csv,5,False,,True,777;778;779;780;781,False,,True,20,no_wall_time_s
results/r020_lift_highn_reliability/checkpoint_reeval_method_seed4_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r020_lift_highn_reliability/checkpoint_reeval_none_seed0_5x20.csv,5,False,,True,777;778;779;780;781,False,,True,20,no_wall_time_s
results/r020_lift_highn_reliability/checkpoint_reeval_none_seed0_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r020_lift_highn_reliability/checkpoint_reeval_none_seed1_5x20.csv,5,False,,True,777;778;779;780;781,False,,True,20,no_wall_time_s
results/r020_lift_highn_reliability/checkpoint_reeval_none_seed1_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r020_lift_highn_reliability/checkpoint_reeval_none_seed2_5x20.csv,5,False,,True,777;778;779;780;781,False,,True,20,no_wall_time_s
results/r020_lift_highn_reliability/checkpoint_reeval_none_seed2_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r020_lift_highn_reliability/checkpoint_reeval_none_seed3_5x20.csv,5,False,,True,777;778;779;780;781,False,,True,20,no_wall_time_s
results/r020_lift_highn_reliability/checkpoint_reeval_none_seed3_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r020_lift_highn_reliability/checkpoint_reeval_none_seed4_5x20.csv,5,False,,True,777;778;779;780;781,False,,True,20,no_wall_time_s
results/r020_lift_highn_reliability/checkpoint_reeval_none_seed4_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r020_lift_highn_reliability/checkpoint_reeval_random_seed0_5x20.csv,5,False,,True,777;778;779;780;781,False,,True,20,no_wall_time_s
results/r020_lift_highn_reliability/checkpoint_reeval_random_seed0_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r020_lift_highn_reliability/checkpoint_reeval_random_seed1_5x20.csv,5,False,,True,777;778;779;780;781,False,,True,20,no_wall_time_s
results/r020_lift_highn_reliability/checkpoint_reeval_random_seed1_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r020_lift_highn_reliability/checkpoint_reeval_random_seed2_5x20.csv,5,False,,True,777;778;779;780;781,False,,True,20,no_wall_time_s
results/r020_lift_highn_reliability/checkpoint_reeval_random_seed2_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r020_lift_highn_reliability/checkpoint_reeval_random_seed3_5x20.csv,5,False,,True,777;778;779;780;781,False,,True,20,no_wall_time_s
results/r020_lift_highn_reliability/checkpoint_reeval_random_seed3_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r020_lift_highn_reliability/checkpoint_reeval_random_seed4_5x20.csv,5,False,,True,777;778;779;780;781,False,,True,20,no_wall_time_s
results/r020_lift_highn_reliability/checkpoint_reeval_random_seed4_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r020_lift_highn_reliability/r020_lift_highn_aggregate.csv,3,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r020_lift_highn_reliability/r020_lift_highn_seed_table.csv,15,False,,True,0;1;2;3;4,False,,False,,no_wall_time_s
results/r021_random_costmatch/r021_costmatch_aggregate.csv,5,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r021_random_costmatch/r021_costmatch_seed_table.csv,25,False,,True,0;1;2;3;4,False,,False,,no_wall_time_s
results/r021_random_costmatch/r021_random_b350_seed_table.csv,5,False,,True,0;1;2;3;4,False,,False,,no_wall_time_s
results/r021_random_costmatch/r021_random_b450_seed_table.csv,5,False,,True,0;1;2;3;4,False,,False,,no_wall_time_s
results/r022_lift_min_disagree_seed0_2/checkpoint_reeval_min_disagree_seed0_5x20.csv,5,False,,True,9000;9001;9002;9003;9004,False,,True,20,no_wall_time_s
results/r022_lift_min_disagree_seed0_2/checkpoint_reeval_min_disagree_seed0_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r022_lift_min_disagree_seed0_2/checkpoint_reeval_min_disagree_seed1_5x20.csv,5,False,,True,9100;9101;9102;9103;9104,False,,True,20,no_wall_time_s
results/r022_lift_min_disagree_seed0_2/checkpoint_reeval_min_disagree_seed1_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r022_lift_min_disagree_seed0_2/checkpoint_reeval_min_disagree_seed2_5x20.csv,5,False,,True,9200;9201;9202;9203;9204,False,,True,20,no_wall_time_s
results/r022_lift_min_disagree_seed0_2/checkpoint_reeval_min_disagree_seed2_5x20_summary.csv,1,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r022_lift_min_disagree_seed0_2/r022_min_disagree_aggregate.csv,2,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r022_lift_min_disagree_seed0_2/r022_min_disagree_seed_table.csv,6,False,,True,0;1;2,False,,False,,no_wall_time_s
results/r022_lift_min_disagree_seed0_2/robosuite_hil_summary.csv,3,True,2062.9,True,0;1;2,True,10000,True,20,
results/r022_lift_min_disagree_seed0_2/run_Lift_voi_b600_seed0_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_vlvmin0p25_vphasenone_idemomodeall_restorebest1_pacelinear.csv,6,False,,False,,False,,True,20,no_wall_time_s;no_seed_column_or_values
results/r022_lift_min_disagree_seed0_2/run_Lift_voi_b600_seed1_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_vlvmin0p25_vphasenone_idemomodeall_restorebest1_pacelinear.csv,6,False,,False,,False,,True,20,no_wall_time_s;no_seed_column_or_values
results/r022_lift_min_disagree_seed0_2/run_Lift_voi_b600_seed2_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_vlvmin0p25_vphasenone_idemomodeall_restorebest1_pacelinear.csv,6,False,,False,,False,,True,20,no_wall_time_s;no_seed_column_or_values
results/r023_real_trace_seed0_2/r023_trace_seed_diagnostics.csv,6,False,,True,0;1;2,False,,False,,no_wall_time_s
results/r023_real_trace_seed0_2/r023_trace_strategy_diagnostics.csv,2,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r023_real_trace_seed0_2/r023_trace_time_bins.csv,10,False,,False,,False,,False,,no_wall_time_s;no_seed_column_or_values
results/r023_real_trace_seed0_2/robosuite_hil_summary.csv,6,True,3649.1,True,0;1;2,True,10000,True,20,
results/r023_real_trace_seed0_2/run_Lift_random_b350_seed0_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_vlvmin0p0_vphasenone_idemomodeall_restorebest1_pacelinear.csv,6,False,,False,,False,,True,20,no_wall_time_s;no_seed_column_or_values
results/r023_real_trace_seed0_2/run_Lift_random_b350_seed1_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_vlvmin0p0_vphasenone_idemomodeall_restorebest1_pacelinear.csv,6,False,,False,,False,,True,20,no_wall_time_s;no_seed_column_or_values
results/r023_real_trace_seed0_2/run_Lift_random_b350_seed2_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_vlvmin0p0_vphasenone_idemomodeall_restorebest1_pacelinear.csv,6,False,,False,,False,,True,20,no_wall_time_s;no_seed_column_or_values
results/r023_real_trace_seed0_2/run_Lift_voi_b600_seed0_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_vlvmin0p0_vphasenone_idemomodeall_restorebest1_pacelinear.csv,6,False,,False,,False,,True,20,no_wall_time_s;no_seed_column_or_values
results/r023_real_trace_seed0_2/run_Lift_voi_b600_seed1_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_vlvmin0p0_vphasenone_idemomodeall_restorebest1_pacelinear.csv,6,False,,False,,False,,True,20,no_wall_time_s;no_seed_column_or_values
results/r023_real_trace_seed0_2/run_Lift_voi_b600_seed2_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_vlvmin0p0_vphasenone_idemomodeall_restorebest1_pacelinear.csv,6,False,,False,,False,,True,20,no_wall_time_s;no_seed_column_or_values
