env_step,eval_success_rate,eval_return,human_steps,engagements,demo_size,online_size
5000,0.0000,0.2972,5000,560,5536,5000
10000,0.0000,0.0821,10000,1121,10536,10000
15000,0.0000,0.1064,15000,1682,15536,15000
20000,0.0000,0.4672,20000,2242,20536,20000
25000,0.0000,4.0309,25000,2798,25536,25000
30000,0.0000,1.6056,30000,3356,30536,30000
35000,0.0000,1.1601,35000,3915,35536,35000
40000,0.0000,0.4620,40000,4476,40536,40000
45000,0.0000,2.2924,45000,5035,45536,45000
50000,0.0000,5.0053,50000,5591,50536,50000
55000,0.0000,4.0843,55000,6148,55536,55000
60000,0.0000,22.9275,60000,6707,60536,60000
65000,0.0000,11.4882,65000,7265,65536,65000
70000,0.0000,10.1196,70000,7826,70536,70000
75000,0.0000,4.0805,75000,8385,75536,75000
80000,0.0000,6.0356,80000,8941,80536,80000
85000,0.0000,3.4632,85000,9502,85536,85000
90000,0.0000,1.6031,90000,10061,90536,90000
95000,0.0000,1.5074,95000,10620,95536,95000
100000,0.0000,1.2064,100000,11180,100536,100000
105000,0.0000,1.4515,105000,11745,105536,105000
110000,0.0000,1.2497,110000,12303,110536,110000
115000,0.0000,1.5797,115000,12859,115536,115000
120000,0.0000,1.8109,120000,13420,120536,120000
125000,0.0000,1.4824,125000,13979,125536,125000
130000,0.0000,1.5083,130000,14537,130536,130000
135000,0.0000,1.5446,135000,15095,135536,135000
140000,0.0000,1.4469,140000,15658,140536,140000
145000,0.0000,1.4698,145000,16222,145536,145000
150000,0.0000,1.8751,150000,16779,150536,150000
