env_step,eval_success_rate,eval_return,human_steps,engagements,demo_size,online_size
5000,0.0000,2.4604,4000,449,4541,5000
10000,0.0000,3.6869,4000,449,4541,10000
15000,0.0000,8.7318,4000,449,4541,15000
20000,0.0500,17.2533,4000,449,4541,20000
25000,0.0000,19.4035,4000,449,4541,25000
30000,0.0000,8.6993,4000,449,4541,30000
35000,0.0000,34.5918,4000,449,4541,35000
40000,0.0000,27.0019,4000,449,4541,40000
45000,0.0000,45.5419,4000,449,4541,45000
50000,0.0000,65.5124,4000,449,4541,50000
55000,0.0500,54.5948,4000,449,4541,55000
60000,0.0500,60.4112,4000,449,4541,60000
65000,0.1500,71.0598,4000,449,4541,65000
70000,0.0000,79.2844,4000,449,4541,70000
75000,0.0000,87.9466,4000,449,4541,75000
80000,0.0000,65.2272,4000,449,4541,80000
85000,0.0000,75.1433,4000,449,4541,85000
90000,0.0000,71.8446,4000,449,4541,90000
95000,0.0000,81.9365,4000,449,4541,95000
100000,0.0000,82.6431,4000,449,4541,100000
105000,0.0000,90.6830,4000,449,4541,105000
110000,0.0000,92.0361,4000,449,4541,110000
115000,0.0000,90.4791,4000,449,4541,115000
120000,0.0000,91.1960,4000,449,4541,120000
125000,0.0000,81.6845,4000,449,4541,125000
130000,0.0000,84.6011,4000,449,4541,130000
135000,0.0000,88.5826,4000,449,4541,135000
140000,0.0000,93.5043,4000,449,4541,140000
145000,0.0500,91.4584,4000,449,4541,145000
150000,0.0000,86.0606,4000,449,4541,150000
